step,pop,avg_rep,avg_death,avg_mut
313,476486,0.0400208,0.019892,0.0399966
314,476674,0.0400212,0.0198917,0.0399969
315,476613,0.0400214,0.0198918,0.0399971
316,476441,0.0400213,0.0198919,0.0399969
317,476472,0.0400212,0.0198914,0.0399972
318,476484,0.0400211,0.0198917,0.0399974
319,476370,0.0400211,0.0198917,0.0399975
320,476240,0.0400213,0.0198917,0.0399975
321,476230,0.0400216,0.0198912,0.0399977
322,476451,0.0400219,0.0198907,0.0399978
323,476560,0.0400223,0.0198903,0.0399981
324,476641,0.0400224,0.0198904,0.0399986
325,476495,0.0400225,0.0198904,0.0399979
326,476479,0.0400223,0.01989,0.039998
327,476461,0.0400219,0.0198903,0.0399981
328,476475,0.0400226,0.0198899,0.0399982
329,476531,0.0400222,0.0198899,0.0399982
330,476479,0.040022,0.0198898,0.039998
331,476404,0.0400219,0.0198899,0.0399982
332,476309,0.0400216,0.01989,0.0399976
333,476227,0.0400215,0.0198899,0.0399971
334,476466,0.0400215,0.0198894,0.0399973
335,476567,0.040022,0.0198891,0.0399974
336,476514,0.0400216,0.019889,0.0399977
337,476415,0.0400214,0.0198889,0.0399978
338,476366,0.0400217,0.0198888,0.0399984
339,476489,0.0400216,0.0198885,0.0399979
340,476653,0.0400214,0.0198886,0.0399982
341,476556,0.0400217,0.0198882,0.0399977
342,476565,0.0400217,0.0198882,0.0399976
343,476536,0.0400221,0.0198884,0.0399976
344,476426,0.0400224,0.019888,0.0399977
345,476474,0.0400231,0.0198876,0.0399975
346,476528,0.0400233,0.0198878,0.039997
347,476578,0.0400234,0.0198879,0.0399969
348,476586,0.0400237,0.0198878,0.0399974
349,476752,0.0400242,0.0198878,0.0399973
350,476646,0.0400245,0.0198874,0.0399976
351,476679,0.0400245,0.0198875,0.0399976
352,476993,0.0400246,0.019888,0.039997
353,476958,0.0400247,0.0198879,0.0399973
354,476583,0.0400242,0.0198878,0.0399976
355,476542,0.0400242,0.0198875,0.0399977
356,476424,0.0400241,0.0198876,0.039998
357,476365,0.0400237,0.0198876,0.0399988
358,476472,0.0400238,0.0198874,0.0399989
359,476483,0.0400242,0.0198874,0.0399984
360,476443,0.0400241,0.0198874,0.0399983
361,476451,0.040024,0.0198873,0.0399978
362,476489,0.040024,0.0198876,0.039998
363,476442,0.0400243,0.0198872,0.0399981
364,476282,0.0400244,0.0198873,0.0399978
365,476395,0.0400245,0.0198873,0.0399981
366,476450,0.0400242,0.0198876,0.0399979
367,476286,0.0400244,0.0198874,0.0399984
368,476168,0.0400245,0.0198873,0.039999
369,476137,0.0400247,0.0198874,0.0399993
370,476058,0.0400251,0.0198875,0.039999
371,476410,0.0400252,0.0198878,0.0399994
372,476336,0.0400252,0.0198875,0.0399997
373,476301,0.0400255,0.0198872,0.0399994
374,476236,0.0400252,0.019887,0.0399991
375,476211,0.0400248,0.019887,0.0399993
376,476401,0.0400244,0.019887,0.0399993
377,476623,0.0400241,0.0198868,0.0399999
378,476550,0.040024,0.0198872,0.0399999
379,476535,0.040024,0.0198876,0.0399998
380,476494,0.040024,0.0198874,0.0399996
381,476371,0.0400239,0.0198876,0.0399994
382,476420,0.0400238,0.0198877,0.0399998
383,476600,0.0400241,0.019888,0.0399996
384,476680,0.0400241,0.019888,0.0399998
385,476670,0.0400236,0.0198877,0.0399996
386,476589,0.0400234,0.0198882,0.0399999
387,476503,0.0400234,0.0198878,0.0399997
388,476635,0.0400234,0.0198878,0.0399995
389,476699,0.0400236,0.0198879,0.0399994
390,476624,0.0400237,0.0198881,0.0399993
391,476354,0.0400237,0.0198879,0.0399995
392,476242,0.0400238,0.0198881,0.0399993
393,476520,0.0400241,0.0198883,0.0399994
394,476591,0.040024,0.0198882,0.0399996
395,476595,0.0400236,0.0198879,0.0399997
396,476739,0.0400234,0.0198878,0.0399999
397,476242,0.0400233,0.0198877,0.0399997
398,476309,0.0400234,0.0198871,0.0399995
399,476508,0.0400233,0.0198874,0.0399996
400,476500,0.0400236,0.0198874,0.0399994
401,476316,0.0400241,0.019887,0.0399995
402,476287,0.0400241,0.0198868,0.0399997
403,476290,0.0400245,0.0198866,0.0399994
404,476265,0.0400247,0.0198865,0.0399994
405,476216,0.0400246,0.0198861,0.0399996
406,476338,0.0400249,0.0198859,0.0399995
407,476392,0.0400252,0.019886,0.0399996
408,476710,0.0400251,0.0198859,0.0399997
409,476411,0.0400251,0.0198857,0.0399999
410,476617,0.040025,0.019886,0.0399999
411,476448,0.0400251,0.0198859,0.0399997
412,476172,0.040025,0.0198855,0.0399996
413,476236,0.0400248,0.0198855,0.0399991
414,476282,0.0400247,0.0198857,0.0399989
415,476395,0.040024,0.0198853,0.0399984
416,476514,0.0400244,0.0198856,0.0399984
417,476404,0.0400244,0.019885,0.0399979
418,476544,0.0400247,0.0198848,0.0399979
419,476765,0.0400247,0.0198842,0.0399974
420,476839,0.0400242,0.0198844,0.0399975
421,476767,0.040024,0.019884,0.0399975
422,476762,0.0400238,0.019884,0.0399977
423,476677,0.0400238,0.0198839,0.0399974
424,476584,0.0400241,0.0198839,0.0399978
425,476487,0.0400246,0.0198839,0.0399978
426,476617,0.0400246,0.0198838,0.0399981
427,476692,0.0400246,0.0198833,0.0399988
428,476716,0.0400244,0.0198839,0.0399986
429,476787,0.0400245,0.0198835,0.0399992
430,476676,0.0400245,0.0198832,0.0399996
431,476561,0.0400247,0.0198828,0.04
432,476386,0.0400246,0.0198825,0.0399995
433,476270,0.0400244,0.0198823,0.0399997
434,476273,0.0400244,0.0198823,0.0399994
435,476496,0.0400244,0.0198824,0.0399992
436,476686,0.0400243,0.0198823,0.039999
437,476965,0.0400251,0.0198825,0.0399987
438,477035,0.0400254,0.0198823,0.039999
439,476886,0.0400252,0.0198822,0.0399987
440,476719,0.040025,0.0198822,0.0399988
441,476567,0.0400249,0.0198818,0.0399988
442,476743,0.0400251,0.0198818,0.0399988
443,476735,0.0400251,0.0198821,0.0399983
444,476414,0.0400246,0.0198821,0.0399983
445,476405,0.0400246,0.0198822,0.0399981
446,476314,0.0400245,0.0198824,0.0399981
447,476317,0.0400245,0.0198825,0.0399977
448,476312,0.0400246,0.0198827,0.0399978
449,476186,0.0400247,0.0198824,0.0399975
450,475927,0.0400247,0.0198826,0.0399977
451,475901,0.0400247,0.019883,0.0399978
452,476181,0.0400247,0.0198832,0.0399978
453,476474,0.0400247,0.0198828,0.0399977
454,476626,0.0400245,0.0198828,0.0399979
455,476772,0.0400249,0.0198826,0.0399981
456,476695,0.0400255,0.019882,0.0399983
457,476721,0.0400255,0.0198823,0.0399984
458,476661,0.0400257,0.019882,0.0399986
459,476557,0.0400258,0.0198819,0.0399985
460,476606,0.0400258,0.0198818,0.0399989
461,476421,0.0400261,0.0198814,0.0399993
462,476338,0.0400264,0.0198813,0.0399992
463,476387,0.0400264,0.0198816,0.0399992
464,476296,0.0400266,0.0198816,0.0399988
465,476249,0.0400269,0.019881,0.0399986
466,476384,0.0400269,0.019881,0.0399983
467,476657,0.040027,0.0198808,0.039999
468,476534,0.040027,0.0198806,0.039999
469,476662,0.0400274,0.0198804,0.039999
470,476763,0.0400276,0.01988,0.0399988
471,476771,0.0400274,0.01988,0.0399984
472,476700,0.0400276,0.0198799,0.0399986
473,476593,0.0400271,0.0198795,0.0399991
474,476489,0.040027,0.0198792,0.0399994
475,476341,0.040027,0.0198793,0.0399993
476,476479,0.0400271,0.019879,0.0399993
477,476365,0.0400272,0.0198793,0.0399995
478,476380,0.0400269,0.0198788,0.0399992
479,476165,0.0400271,0.0198785,0.0399998
480,476276,0.0400273,0.0198784,0.0399994
481,476318,0.0400276,0.0198785,0.0399994
482,476375,0.0400277,0.0198783,0.0399989
483,476366,0.0400273,0.0198779,0.0399988
484,476303,0.0400275,0.0198782,0.0399994
485,476194,0.0400272,0.0198776,0.0399994
486,475937,0.0400274,0.0198771,0.0399991
487,475873,0.0400276,0.0198768,0.0399993
488,476226,0.0400275,0.0198771,0.0399991
489,476444,0.0400279,0.0198769,0.0399988
490,476394,0.0400277,0.0198775,0.0399984
491,476603,0.0400269,0.0198773,0.039999
492,476728,0.0400267,0.0198777,0.0399989
493,476673,0.0400268,0.0198773,0.0399991
494,476460,0.0400269,0.0198772,0.0399992
495,476313,0.0400265,0.0198772,0.0399989
496,476483,0.0400264,0.0198774,0.0399991
497,476753,0.040026,0.0198774,0.0399991
498,476730,0.0400256,0.0198765,0.0399994
499,476821,0.0400256,0.0198764,0.0399992
500,476607,0.0400258,0.0198761,0.0399996
501,476714,0.040026,0.019876,0.0399996
502,476557,0.040026,0.0198757,0.0399999
503,476667,0.0400259,0.0198754,0.0399998
504,477002,0.040026,0.019875,0.0399999
505,476988,0.0400261,0.0198751,0.0399992
506,476789,0.0400261,0.0198743,0.0399989
507,476632,0.0400256,0.0198744,0.0399988
508,476483,0.0400257,0.0198745,0.039999
509,476360,0.0400259,0.0198743,0.0399989
510,476577,0.0400259,0.019874,0.0399992
511,476556,0.0400259,0.0198734,0.0399989
512,476874,0.040026,0.019873,0.0399993
513,476806,0.0400263,0.0198731,0.0399991
514,476856,0.0400268,0.0198729,0.0399998
515,476747,0.0400268,0.0198723,0.0399998
516,476471,0.040027,0.0198718,0.04
517,476542,0.0400274,0.0198718,0.0400004
518,476748,0.0400273,0.0198714,0.0400007
519,476696,0.0400279,0.0198717,0.0400011
520,476475,0.0400281,0.0198719,0.0400009
521,476352,0.0400281,0.0198721,0.0400009
